api_id,module,package,tag,reason
cn.hutool.ai.core::AIConfigBuilder::build#AIConfig (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigRegistry#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigRegistry::getConfigClass#Class<? extends AIConfig> (final String modelName),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIService#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIServiceProvider#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseAIService#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseAIService::BaseAIService#(final AIConfig config),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setApiKey#void (final String apiKey),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getApiKey#String (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setApiUrl#void (final String apiUrl),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getApiUrl#String (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setModel#void (final String model),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getModel#String (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
"cn.hutool.ai.core::BaseConfig::putAdditionalConfigByKey#void (final String key, final Object value)",hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getAdditionalConfigByKey#Object (final String key),hutool-ai,ai.core,portable,candidate for idiomatic Rust
"cn.hutool.ai.core::BaseConfig::getAdditionalConfigMap#Map<String, Object> ()",hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getTimeout#int (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setTimeout#void (final int timeout),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getReadTimeout#int (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setReadTimeout#void (final int readTimeout),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getHasProxy#boolean (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setHasProxy#void (boolean hasProxy),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::getProxy#Proxy (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::BaseConfig::setProxy#void (Proxy proxy),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::Message#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::Message::Message#(),hutool-ai,ai.core,portable,candidate for idiomatic Rust
"cn.hutool.ai.core::Message::Message#(final String role, final Object content)",hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::Message::setRole#void (final String role),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::Message::getRole#String (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::Message::getContent#Object (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::Message::setContent#void (final Object content),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekCommon#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekConfig#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekConfig::DeepSeekConfig#(),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekConfig::DeepSeekConfig#(String apiKey),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekConfig::getModelName#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekProvider#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekProvider::getServiceName#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekProvider::create#DeepSeekService (final AIConfig config),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekService#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekServiceImpl#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::DeepSeekServiceImpl#(final AIConfig config),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::chat#String (final List<Message> messages),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::chat#void (final List<Message> messages, final Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::beta#String (final String prompt),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::beta#void (final String prompt, final Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::models#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.deepseek::DeepSeekServiceImpl::balance#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoContext#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoContext::getMode#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoVision#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoVision::getDetail#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoVideo#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoVideo::getType#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoCommon::DoubaoVideo::getValue#Object (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoConfig#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoConfig::DoubaoConfig#(),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoConfig::DoubaoConfig#(String apiKey),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoConfig::getModelName#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoProvider#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoProvider::getServiceName#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoProvider::create#DoubaoService (final AIConfig config),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoService#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::DoubaoServiceImpl#(final AIConfig config),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::chat#String (final List<Message> messages),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::chat#void (final List<Message> messages, final Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::chatVision#String (String prompt, final List<String> images, String detail)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
